Text,Predicted_Label,Justification,Persuasive_Phrases,Techniques
Subject:	New WACOG report.

Jason,
could you please test the New Sitara Report (WACOG Desk to Desk). 
Here is the URL for this report http://sitrpt.dev.corp.enron.com/reports/wacog_dsk2dsk.asp
If you have any questions let me know.
thanks
Krishna
35216

 -----Original Message-----
From: 	Wolfe, Jason  
Sent:	Wednesday, July 11, 2001 3:31 PM
To:	Lattupally, Krishna
Subject:	proposed sitara report

Krishna,

I am looking to create a new report based on an existing sitara report that generates a deal list by pub code to estimate
various indexes during bid week. This was first made for Anne Bike, West Desk risk group.

The purpose of this new report is to generate a list of Desk-To-Desk deals for a given period and desk and generate a WACOG.
The parameters for this new query include:

From and To Dates
Gas location (including All)
Desk (including All)

It should return to and from dates, volume, price, location, sitara number, tagg number, eol number (if any), and desk
It should generate subtotal volumes and WACOG for each desk, and each pipe location in each desk

Desks include: ENA - IM WSOCAL, ENA - IM WSJ, ENA - IM WKEYSTONE, ENA - IM WPGE, ENA - IM WROCKIES

If possible, the data should export into excel.

Thanks,
Jason Wolfe
Trading Analyst, West Desk
30568",Non-Persuasive,"This is a series of emails regarding a specific request for access to a report, with no attempt to influence or persuade the reader.",None,None
"gzivic@elementre.com  203-541-1012 home 203-329-8490   understood- will pass along the info..the guy has been away this week, so not a big deal, but yes, george is leaving tomorrow night until monday, so for him to send to the guy, then tomorrow would be the best - otherwise monday.   let me know if there is anything i can do i will be in houston next monday to thursday-  robyn   -----Original Message-----  From: Ruscitti, Kevin  Sent: Tue 7/17/2001 11:08 AM  To: Zivic, Robyn  Cc:  Subject:  i lost my resume so i've been trying to construct a new one from scratch.  hopefully, it'll be done by tomorrow.  what is george's email address.  did you say he was leaving town this week.  if so, when.  thanks.  talk to you  soon.  kevin",Non-Persuasive,"The paragraph is a casual email exchange between two individuals, discussing personal matters and exchanging information. There is no attempt to persuade or convince the recipient of a particular point of view.",None,None
"Cara,

I found Mead-230KV.  It is cleared as well as both Four Corners points.

Regards,
Will

 -----Original Message-----
From: 	Semperger, Cara  
Sent:	Tuesday, July 17, 2001 1:03 PM
To:	Smith, Will
Subject:	RE: Resuming testing now

Try Mead-230KV

Yes to the Four Corners ones

 -----Original Message-----
From: 	Smith, Will  
Sent:	Tuesday, July 17, 2001 9:04 AM
To:	Semperger, Cara
Subject:	RE: Resuming testing now

Cara,

I could not find ""Mead-230"" or ""Four Corners"".  I did find ""Mead-DOE"", ""Mead-SCE"", ""Four Corners-230KV"", and ""Four Corners-345KV"".  Do you want me to clear these out?

All other delivery points routing info have been cleared out.

Regards,
 Will

 -----Original Message-----
From: 	Semperger, Cara  
Sent:	Tuesday, July 17, 2001 10:08 AM
To:	Smith, Will; Atta, Asem; Venkataswami, Vishwanatha
Cc:	Bentley, Corry
Subject:	Resuming testing now

Good Morning,

I will create another test day to look at all these changes, my target date is June 21.  

I will need routing records removed from the following points for that day:

MidColumbia
COB N/S
Portland General System
BPA Busbar
Palo Verde
Midway-PSC
Mead-230
Four Corners
West Wing

Please let me know when these routes are cleared and I will start re-populating data.  It will take me an hour or so to create the new spreadsheets for that day.

Thanks,

Cara

 -----Original Message-----
From: 	Smith, Will  
Sent:	Tuesday, July 17, 2001 7:06 AM
To:	Semperger, Cara; Bentley, Corry
Cc:	Atta, Asem; Venkataswami, Vishwanatha; Luu, Duong
Subject:	Updates to Pre-Schedule Workspace and Path Confirmation

Cara / Corry,

I have released into stage new versions of PreSchedule and Path Confirmation.  Included in the new release are...

Pre-Schedule Workspace:
Fix to ""Variant Conversion"" errors.
Now able to print Error Log.
Border2 is not required for creating confirmation records nor for creating route data.
Include Transmission information in the path when creating confirmation records.  
The path should resemble:  UPSTREAM-SUPPLY-E-TRAN1(OASIS ID)-E-TRAN2(OASIS ID)-E- ... -MARKET-DOWNSTREAM
Make Build Route sheet read only to prevent removal of data.  Build Routes is dependent on the data staying in the sheet to determine if deals have changed.  Add an option to clear the sheet to start over.
The transmission deal number is not required for path confirmation records.
""Copy Workspace"" functionality.
Allow change font properties (color, bold, etc) and cell properties (highlight color).
Allow searching in the sheets. e.g. search for a deal number.  A simple search for string or number will do.
Neither Upstream nor Downstream are required for path creation.
Fix ""General SQL error.  ORA-02289: sequence does not exist"" problem.
'Get  Now' when repeatedly pressed does not cause application to be unstable

Path Confirmation:
�	Added preferences for storing and setting the display colors in the grid
�	""Invalid BLOB handle in record buffer "" error is fixed
�	Enpower counterparty long names are shown 
�	Improved loading time while opening path confirmation dialog
�	Provided an option confirm the paths in batches,  
�	Path cut check box indicator is fixed


Regards,
Will",Non-Persuasive,"The paragraph is a series of technical emails about clearing routes and updating software, without any attempt to influence or persuade the reader.",None,None
"Hi Louise,

Attached is the Q3 2000 vs. Q3 2001 information you requested. Since we are only two weeks into Q3, though, we have included the month of June as well to get a better set of numbers. Just let me know if this is what you need.

Thanks,
Torrey

 -----Original Message-----
From: 	Moorer, Torrey  
Sent:	Tuesday, July 17, 2001 10:20 AM
To:	Webb, Jay
Cc:	Puthigai, Savita
Subject:	FW: 3rd Qtr Comparison

Hi Jay,

Attached is the expanded data set for Louise, to include June as well as the first two weeks of Q3 2000 and 2001.

Just let me know if you're okay with it and I can forward a copy of it to Louise as well.

thanks,
Torrey

 -----Original Message-----
From: 	Levy, Laura  
Sent:	Tuesday, July 17, 2001 10:11 AM
To:	Moorer, Torrey
Subject:	RE: 3rd Qtr Comparison

Torrey,

Attached is the updated information with the June values added to the previous values entered.",Non-Persuasive,"The paragraph is simply providing information and asking for confirmation, without attempting to persuade or influence the reader's opinion.",None,None
"*. The state budget passed the Assembly last night at approximately 6:55 p.m. PDT.  The MOU hearing, which was supposed to take place following the budget debate, was cancelled due to the late hour.  The Senate is on call to take up the budget (SB 739 [Peace]).  There are rumors that Senator Burton will not accept the large amount of pork put into the budget by the Assembly.  The budget must pass both houses before the legislature can adjourn, so it takes priority over the MOU.

*. The Senate Energy Committee is on call of the chair (Bowen) to discuss the original MOU, sponsored by Polanco.  This is expected to happen sometime today.

*. An Assembly vote on AB 82XX is likely to occur in its floor session on Wednesday or Thursday.  An Assembly floor session is scheduled for Friday on the call of the Speaker.

*. Two Republican votes are now needed to pass any urgency measure or the budget on the Senate side because Senator Kuehl (Dem) has gone on vacation to Italy.  Sen. Perata (Dem) may also go on vacation shortly, meaning that 3 Republican votes would be needed.",Persuasive,"The paragraph presents information about the budget and MOU hearing, emphasizing the importance of the budget passing both houses and the potential impact of Senator Burton's opposition.","""The budget must pass both houses before the legislature can adjourn, so it takes priority over the MOU.""","Appeal to Authority, Appeal to Time (implying that the budget must be passed urgently), Appeal to Consequences (emphasizing the potential impact of Senator Burton's opposition)"
"Jason,
Did you got access on Sitara development reporting system. If not why don't you do Web Request. 
thanks
krishna
 -----Original Message-----
From: 	Wolfe, Jason  
Sent:	Monday, July 16, 2001 2:16 PM
To:	Lattupally, Krishna
Subject:	RE: New WACOG report.

Krishna,
Could you see that I am granted access to Sitara development, reports selection?
I will be testing the new report myself. This is fairly high priority.

Thanks,
Jason
30568

 -----Original Message-----
From: 	Lattupally, Krishna  
Sent:	Monday, July 16, 2001 2:04 PM
To:	Wolfe, Jason
Cc:	Krishnaswamy, Jayant
Subject:	New WACOG report.

Jason,
could you please test the New Sitara Report (WACOG Desk to Desk). 
Here is the URL for this report http://sitrpt.dev.corp.enron.com/reports/wacog_dsk2dsk.asp
If you have any questions let me know.
thanks
Krishna
35216

 -----Original Message-----
From: 	Wolfe, Jason  
Sent:	Wednesday, July 11, 2001 3:31 PM
To:	Lattupally, Krishna
Subject:	proposed sitara report

Krishna,

I am looking to create a new report based on an existing sitara report that generates a deal list by pub code to estimate
various indexes during bid week. This was first made for Anne Bike, West Desk risk group.

The purpose of this new report is to generate a list of Desk-To-Desk deals for a given period and desk and generate a WACOG.
The parameters for this new query include:

From and To Dates
Gas location (including All)
Desk (including All)

It should return to and from dates, volume, price, location, sitara number, tagg number, eol number (if any), and desk
It should generate subtotal volumes and WACOG for each desk, and each pipe location in each desk

Desks include: ENA - IM WSOCAL, ENA - IM WSJ, ENA - IM WKEYSTONE, ENA - IM WPGE, ENA - IM WROCKIES

If possible, the data should export into excel.

Thanks,
Jason Wolfe
Trading Analyst, West Desk
30568",Persuasive,The paragraph is persuasive as it tries to convince the recipient to grant access to the Sitara development reporting system.,"""Could you see that I am granted access to Sitara development, reports selection?""","Appeal to Authority, Appeal to Popularity (Appeal to Authority and Appeal to Popularity are used here as Jason is asking for a specific request and Krishna is in a position of authority)"
"Debra, Please contact Shari to discuss their special provisions to the GISB. Thanks, Judy -----Original Message----- From: Hill-Ward, Shari [mailto:SHillWard@hess.com] Sent: Tuesday, July 17, 2001 11:13 AM To: Thorne, Judy Subject: RE: NEW GISB CONTRACT Judy, I am in process of finalizing the basic GISB Contract to prepare it for execution.... However, I need to get a response back from you regarding OUR Special Provisions I sent you....Most likely, we will have to COMBINE both of the YOURS & OUR Special Provisions into one document....At that time, I will forward it to our Legal Dept. for final review as they have to approve it... I will await your response...Thanks! Shari Hill Ward Gas Contract Analyst Hess Energy Services Company, LLC Office:   (713) 609-4925 Fax:      (713) 609-4948 E-Mail:   shillward@hess.com   -----Original Message----- From: Thorne, Judy [mailto:Judy.Thorne@ENRON.com] Sent: Wednesday, July 11, 2001 8:58 AM To: SHillWard@hess.com Cc: Nemec, Gerald; Perlingiere, Debra; Mahabir, Alisha Subject: FW: NEW GISB CONTRACT Attached is a draft GISB for discussion purposes that includes our company information as well as our special provisions. Our legal department will work with you regarding the terms of your special provisions. If you have any other questions, do not hesitate to call me. Thanks, Judy Thorne ENA Upstream Company LLC 713-853-4758 -----Original Message----- From: Hill-Ward, Shari [mailto:SHillWard@hess.com] Sent: Tuesday, July 10, 2001 3:42 PM To: Thorne, Judy Subject: NEW GISB CONTRACT Judy, Pursuant to our telephone conversation this morning, attached please find the following:    > 1.       GISB Contract - Please complete Page 1 and forward back to me. > 2.       Special Provisions - Please review and let me know if you have >              revisions, or it is approved as is.      <>  <>  > In the meantime, if you have any questions, feel free to contact me. > Looking forward to hearing back from you on Items 1 and 2 above. >  >  > Shari Hill Ward > Gas Contract Analyst > Hess Energy Services Company, LLC > Office:   (713) 609-4925 > Fax:      (713) 609-4948 > E-Mail:   shillward@hess.com >   >",Non-Persuasive,The paragraph is a professional email exchange between two companies discussing a contract and special provisions. It does not attempt to persuade or influence the reader in any way.,None,None
"Elizabeth and Mark,  it may also be useful to look at this suggested alternative.  Again, we do not have any agenda in terms of which is the ""right"" method, but we are just trying to figure out what works in the bandwidth context.  All thoughts gratefully received.

 -----Original Message-----
From: 	Traung, Peter  
Sent:	12 July 2001 19:12
To:	Harkness, Cynthia
Cc:	Browning, Mary Nell
Subject:	Section 5.4 of the new draft MSA

Cynthia, subject to further amendment this is what we're planning to use instead of the structure in the June 22 draft:

(i)	If an Early Termination Date is designated, the Defaulting Party shall compensate the Non-Defaulting Party for the Loss, if any, caused the Non-Defaulting Party with respect to each Terminated Product.  The amount of a Loss shall be determined by reference to (i) the prices available within [thirty (30)] Business Days after the Early Termination Date in an arm's length transaction for a replacement product, or (ii) the price agreed in a cover transaction effected within [thirty (30)] Business Days after the Early Termination Date.  No actual purchase or sale shall be required in order to determine a Loss.  Any cover transaction shall be effected in a reasonable manner and on the best available terms.  In no event shall the Non-Defaulting Party be required to use its own market position in order to effect a cover transaction.         
(ii)	If the Non-Defaulting Party has suffered Loss, the sum of such Loss shall be payable to the Non-Defaulting Party by the Defaulting Party on the date specified in Section 5.5.  The amount payable by a Party pursuant to this Section 5.4(ii) shall be the ""Termination Payment"".

""Loss"" means an amount equal to the difference between the present value of the Contract Price for the remaining Term and the present value of the cost for a replacement product.  With respect to the Buyer, a Loss shall have occurred if such replacement cost is higher than the Contract Price for the remaining Term.  With respect to the Seller, a Loss shall have occurred if such replacement cost is lower than the Contract Price for the remaining Term.  
This takes the place of the present 5.4(i)-(ii), and the definition of Gain is deleted.

Peter Traung
Senior Legal Counsel
Enron Europe Limited
DD +44-20-7783 2443
Fax +44-20-7783 1434",Non-Persuasive,"The paragraph appears to be a formal, objective communication presenting a suggested alternative and clarifying the terms of a contract.",None,None
"Hi Louise,  

As a followup from yesterday, this spreadsheet contains a comparison from June 1 - mid July.  The Q3 comparison from yesterday only contains two weeks of data, so this might give a more meaningful comparison.

Thanks!
 --jay",Non-Persuasive,"The message lacks any explicit persuasive intent or emotional appeal. It is a straightforward, factual update.",None,None
"kevin- unfortuanely most of these are analysts- some of the language is ok to use, but more qualitative than quantitative - this was jsut sent to us - most of them are in house, so be careful if you are printing out anyof them.   and i have added in this resume of this guy (trey shenken) who sent me his to show to hunter- i gave it directly to hr as i don't know the guy from adam- he was a frd of a frd and i think his is WAY to long, but had some stuff abt trading: spk soon rz -----Original Message-----  From: Andrea Richards  Sent: Fri 7/13/2001 6:36 PM  To: Caroline Abramo  Cc: Robyn Zivic  Subject: FW: Analyst Resumes Caroline, let's try this again.  -----Original Message----- From:   Richards, Andrea   Sent:   Thursday, July 12, 2001 9:51 AM To:     Abramo, Caroline Cc:     'Thomas Gros' Subject:        Analyst Resumes Caroline, attached are resumes of Analysts that are up for rotation.  If you are interested, you may contact them directly.  I will contact you to discuss your interest. ANALYSTS <> ,  <> ,  <> ,  <> ,  <> , <> ,  <>  <> (Christiaan is moving back from our Brazil office, Business Unit would be responsible for his re-location costs) <> (Carrie is interested in moving here from London.  Business Unit would be responsible for her re-location costs) <> , <> ,  <> , <> ,  <> ,  <> , <> , <>  <> ,  <> , <> , <> ,   <> ,  <> , (Nat and Shaleen recently started with the program and are being re-deployed from EES.  They need to find homes immediately.  If you re interested, please contact directly). Thanks in advance for your consideration! Andrea Richards Associate and Analyst Program Career Development 713-853-6499",Non-Persuasive,"The paragraph appears to be a work-related message discussing analyst resumes and relocation costs, without attempting to persuade or influence the reader's opinion.",None,None
"Since you aren't going to the meeting, you might enjoy this.  
-----Original Message-----
From: Markel, Gregory A. [mailto:GMarkel@brobeck.com]
Sent: Monday, July 16, 2001 6:06 PM
To: Brownfeld, Gail
Subject: FW: E-mail re damages expert


	t

> Gail,
> 
> As you requested, here is a summary of what we discussed  last week  with
> our damages experts, Seth Schwartz and Emily Medine of Energy Ventures
> Analysis, Inc.
> 
> They have received everything they requested from Enron in terms of
> documentation.  They have also gotten hold of the RDI and Hill &
> Associates reports which discuss the coal / synfuel market outlook.  They
> have also reviewed the comments to Rev Proc 200-47, which was the one that
> requested input regarding the IRS's decision at that time to suspend
> issuing PLRs until it rethought the standards that should apply.
> 
> Generally speaking, they are finding support for the idea that the
> synfuel/coal spread should diminish and approach zero over a relatively
> short period of time.  Essentially, they are finding that the two are
> commercial substitutes for one another, and that the    primary  reason
> for a discount in synfuel early on is to achieve market acceptance.  In
> fact, there is even some support for the idea that synfuel would trade at
> a premium to coal, because at least some power plants found that burning
> synfuel rather than coal reduces their emissions of nitrous oxide.  The
> spread is the key number both for our damage case and for mitigation.  We
> have discussed previously  how the spread works into the swap agreement
> analysis..  However it is also the key number in mitigation because if the
> spread is less than $5.25 (fully expensed) then the damages should be zero
> if coal is available to run the machines so that Sempra can get the tax
> credit.  Obviously in the short run they may have a claim for down time
> but in the longer run the facilities should be operating and producing
> credits. 
> 
> They also are looking at how the European market was heading towards
> accepting synfuel.  This is particularly significant since Europe would be
> a large market for Pier IX product.  In this regard, they've been looking
> at records from the CoalTrans conference held in Madrid 10/25-27/00.  Did
> anyone from Enron attend this conference?
> 
> They cannot yet put numbers to their analysis, but it generally appears
> that their work is heading in the right direction for us.
> 
> On mitigation, as you know, we've been stonewalled by Sempra on our first
> attempt to get information about what they are doing currently in
> Kentucky.  I expect this will be a battle.  The court rules require us to
> attempt to ""meet and confer"" to resolve the issue without court
> intervention first, then write a letter to the court, and only if that
> results in an impasse can we resort to motion practice.  We  had an
> unproductive meet and confers today on these issues. We will try to bring
> this to ahead as quickly as possible  We are also preparing deposition
> notices for the person most knowledgeable about the mitigation issues.  We
> have also asked Emily and Seth to work on a model for what Sempra could do
> in mitigation efforts based on general market information.  If and when we
> get the specific information about what is happening in Kentucky
> currently, that information will be incorporated into their mitigation
> model.
> 
> 

=======================================================
This email message is for the sole use of the intended recipient(s) and may contain confidential and privileged information. Any unauthorized review, use, disclosure or distribution is prohibited. If you are not the intended recipient, please contact the sender by reply email and destroy all copies of the original message.

To reply to our email administrator directly, send an email to postmaster@brobeck.com
BROBECK PHLEGER & HARRISON LLP
http://www.brobeck.com",Persuasive,"The message presents a detailed summary of a meeting and highlights the positive progress made, which is likely to influence the reader's perception.","""They have received everything they requested from Enron in terms of documentation"", ""Generally speaking, they are finding support for the idea that the synfuel/coal spread should diminish and approach zero over a relatively short period of time.""","Appeal to Authority, Appeal to Values (in this case, the authority of the damages experts and the widely accepted values of commercial substitutes), Repetition (emphasizing the progress made in the meeting"
"Jeff:

Although the contract with Adventis has been terminated by D.Cox via telephone, Partha Ghosh continues to try to facilitate the AT&T - Enron relationship.  

I continue to believe that there is no reason that you can not have a direct relationship with Dave Dorman to pursue opportunities at a high level.  I have always encouraged a direct call from you to D.Dorman to find out if we can wean ourselves from Adventis.

I understand that you have a call scheduled today with D.Dorman I would like to take the opportunity to get a gut check on the previous deal if you think it is appropriate.



Talking Points:


Previous Deals Proposed

We previously proposed a transaction to establish a JV which would pursue the wholesale intermediation market for long haul bandwidth (see attached draft).

You seemed interested in our proposal but we have had difficulty in getting a follow up meeting to confirm your interest and get your thoughts on the proposal.

In the meantime, through Adventis, we proposed a different structure where AT&T would buy Enron's longhaul network and in exchange Enron would take back a take or pay (see attached draft).  In our view, it's really the same deal but instead of AT&T receiving value through an equity interest in a JV, AT&T would receive value through the take of pay.  The deal really accomplishes the same thing for us.


The Strategy Behind the Deals Proposed

EBS is really an acquisition for Enron that came with the purchase of Portland General Electric.  The communications company of PGE was going down the road of all of the other fiber over builders in the marketplace in that it intended to build out its own network.

We have repositioning that company over the last 12 - 18 months so that it fits better with the Enron business model of trading and intermediation.  Part of this process likely includes reducing of most of out long haul positions to better facilitate intermediating the long haul market as opposed to  build, own and operate in it. The deals proposed to AT&T would assist accomplish this repositioning of EBS.

Future Communications

Previously we have spent much of our time communicating to you through Adventis.  This has been a challenging process for us.  Is it possible to establish a direct high level relationship with AT&T especially at the President (D.Dorman) to CEO (J.Skilling) level.",Persuasive,"The paragraph is persuasive as it presents a clear and logical argument for establishing a direct relationship with AT&T, while highlighting the benefits and addressing potential concerns.","""I continue to believe that there is no reason that you can not have a direct relationship with Dave Dorman to pursue opportunities at a high level.""","Appeal to Authority, Appeal to Values (efficiency, simplicity)"
"When: Thursday, July 19, 2001 2:30 PM-3:00 PM (GMT-06:00) Central Time (US & Canada).
Where: EB3567

*~*~*~*~*~*~*~*~*~*",Non-Persuasive,Not Found,None,None
"Events in California take a bearish turn for SoCal but expect several more twists and turns this week, as there are other more SoCal-favorable bills still in circulation.

RJ

The former bill carrying the original MOU, SB 78XX (Polanco), has now
been gutted and replaced with what appears to be the Senate plan (crafted by Sher) for the MOU.  IN other words, the original MOU crafted by the governor and SoCal in April no longer has a bill carrying it.

*. The newly amended SB 78XX calls for the following:

- There is an option for the state to purchase SoCal's transmission assets at book value.
- Revenue from the rate stabilization bonds may be used as follows:
	- No more than $1.2 billion for bank creditors
	- No more than $1.3 billion for debts owed to QFs
	- Any debts for power purchased from non-QF generators before 1/31/01 is the responsibility of SoCal and its parent company.

*. This deal seems very likely to be seen as unacceptable by SoCal,
especially this final point.",Non-Persuasive,"The paragraph presents facts and information without attempting to sway the reader's opinion or emotions. It provides details about the situation in California and the outcome of a specific bill, but does not make a persuasive argument.",None,None
"Daren - can you please let me know the status on this for 02/2000?  Thanks, Gloria


 -----Original Message-----
From: 	Barkowsky, Gloria G.  
Sent:	Friday, June 29, 2001 4:47 PM
To:	Farmer, Daren J.
Cc:	Garcia, Clarissa
Subject:	RE: EPGT

Daren - what about February 2000?  It doesn't look like it's been pathed for HPL and CHAN.
Please let me know.  Thanks, Gloria


 -----Original Message-----
From: 	Farmer, Daren J.  
Sent:	Monday, June 25, 2001 5:16 PM
To:	Barkowsky, Gloria G.
Subject:	RE: EPGT

Deal 871172 has been pathed from the Texas side.

D

 -----Original Message-----
From: 	Barkowsky, Gloria G.  
Sent:	Friday, June 22, 2001 4:50 PM
To:	Garcia, Clarissa; Farmer, Daren J.; Dinari, Sabra L.
Subject:	EPGT

Clarissa - Thanks so much for all your help with this pipe!  Everything looks great.  I just have a couple of paths
that I need to finish it:

January 2000 - I need deal #854688 pathed for EPGT and for TETC.  According to the invoice, we should have
                      11,129 dth on the interconnect.

February 2000 - I need deal #871184 pathed for HPL and CHAN.  HPL should have 3,600 dth and CHAN should
                       have 11,500 dth on the interconnect.

July 2000 - Deal #871172 has an interconnect issue.  According to MOPS contract #105124, they received 8,275 dth
                 on the Matagorda 624, but according to EPGT, they delivered 10,362 dth to HPL (?)  Could this possibly
                 need to be split somehow, or do you have any other ideas?

Let me know.  Thanks, Gloria 3-7118",Non-Persuasive,"The paragraph is a series of emails about business transactions, and it lacks any explicit persuasive language or appeals to emotions.",None,None
"If you get have a night of insomnia, may I suggest the attached.  -----Original Message----- From: Zeisler, Aaron M. [mailto:AZeisler@brobeck.com] Sent: Friday, July 13, 2001 3:17 PM To: Brownfeld, Gail Cc: Markel, Gregory A.; Johnson, Christopher P. Subject: Depo summaries Gail, Attached are general summaries for Mooza, Cahill, Reagan, Smith, McQuade, Beaury and McArdle.  As I stated, there's nothing for Wojtowicz but you can speak to Chris about any specifics. We're having a true digest done of McClellan . . . and Reck and McGowan. Aaron  <>  <>   <>  <>   <>  	Aaron M. Zeisler 	Complex Litigation 	Internet & E-Commerce Litigation Group 	Brobeck 	1633 Broadway 	47th Floor 	New York, NY 10019 	p: 212-299-4164 	f: 212-586-7878 	azeisler@brobeck.com 	www.brobeck.com ======================================================= This email message is for the sole use of the intended recipient(s) and may contain confidential and privileged information. Any unauthorized review, use, disclosure or distribution is prohibited. If you are not the intended recipient, please contact the sender by reply email and destroy all copies of the original message. To reply to our email administrator directly, send an email to postmaster@brobeck.com BROBECK PHLEGER & HARRISON LLP http://www.brobeck.com",Non-Persuasive,"The email is a formal message that is not intended to persuade or influence the reader, but rather to provide information and request actions.",None,None
"We have created a userid for you in Sitara Parallel

	userid: jwolfe
	password: jwolfe

Thanks
Meena",Non-Persuasive,"The paragraph appears to be a simple notification or communication, without any attempt to persuade or influence the reader.",None,None
